"日付け","終値","始値","高値","安値","出来高","前日比%"
"2020年07月28日","10,925.5","11,063.5","11,063.5","10,925.5","-","-1.25%"
"2020年07月27日","11,064.0","9,940.5","11,064.0","9,940.5","-","11.31%"
"2020年07月26日","9,940.0","9,712.0","9,940.0","9,712.0","-","2.34%"
"2020年07月25日","9,712.5","9,549.0","9,712.5","9,549.0","-","1.71%"
"2020年07月24日","9,549.0","9,611.5","9,611.5","9,549.0","-","-0.65%"
"2020年07月23日","9,611.5","9,537.5","9,611.5","9,537.5","-","0.78%"
"2020年07月22日","9,537.5","9,393.0","9,537.5","9,328.5","-","1.54%"
"2020年07月21日","9,393.0","9,160.0","9,393.0","9,160.0","-","2.54%"
"2020年07月20日","9,160.0","9,219.0","9,219.0","9,160.0","-","-0.64%"
"2020年07月19日","9,219.0","9,172.5","9,219.0","9,172.5","-","0.51%"
"2020年07月18日","9,172.5","9,154.0","9,172.5","9,154.0","-","0.20%"
"2020年07月17日","9,154.0","9,130.5","9,154.0","9,130.5","-","0.26%"
"2020年07月16日","9,130.5","9,188.0","9,188.0","9,130.5","-","-0.62%"
"2020年07月15日","9,187.5","9,256.5","9,256.5","9,187.5","-","-0.75%"
"2020年07月14日","9,256.5","9,230.0","9,256.5","9,179.5","-","0.29%"
"2020年07月13日","9,230.0","9,305.0","9,350.0","9,230.0","-","-0.81%"
"2020年07月12日","9,305.5","9,232.0","9,305.5","9,232.0","-","0.80%"
"2020年07月11日","9,232.0","9,290.5","9,290.5","9,232.0","-","-0.63%"
"2020年07月10日","9,290.5","9,235.5","9,290.5","9,235.5","-","0.60%"
"2020年07月09日","9,235.5","9,443.0","9,443.0","9,235.5","-","-2.20%"
"2020年07月08日","9,443.0","9,251.0","9,443.0","9,251.0","-","2.08%"
"2020年07月07日","9,251.0","9,348.0","9,348.0","9,251.0","-","-1.04%"
"2020年07月06日","9,348.0","9,078.0","9,348.0","9,078.0","-","2.96%"
"2020年07月05日","9,079.5","9,142.0","9,143.0","8,971.0","-","-0.68%"
"2020年07月04日","9,142.0","9,055.5","9,196.5","9,039.5","-","0.96%"
"2020年07月03日","9,055.0","9,084.5","9,122.0","9,021.0","-","-0.32%"
"2020年07月02日","9,084.5","9,234.5","9,259.0","8,932.0","-","-1.62%"
"2020年07月01日","9,234.5","9,132.5","9,296.5","9,086.5","-","1.12%"
"2020年06月30日","9,132.5","9,188.0","9,198.0","9,040.0","-","-0.60%"
"2020年06月29日","9,188.0","9,114.5","9,234.5","9,013.0","-","0.80%"
